,level_0,index,article_name,country,revision_id,scores,population
0,0,1,Bir I of Kanem,Chad,355319463,Stub,15400000
1,1,122,Abdullah II of Kanem,Chad,498683267,Stub,15400000
2,2,260,Salmama II of Kanem,Chad,565745353,Stub,15400000
3,3,261,Kuri I of Kanem,Chad,565745365,Stub,15400000
4,4,262,Mohammed I of Kanem,Chad,565745375,Stub,15400000
5,5,503,Kuri II of Kanem,Chad,669719757,Stub,15400000
6,6,519,Bir II of Kanem,Chad,670893206,Stub,15400000
7,7,728,Mahamat Hissene,Chad,693055898,Stub,15400000
8,8,1310,Othman I,Chad,705432607,Stub,15400000
9,9,1680,Alphonse Kotiga,Chad,707593108,Stub,15400000
10,10,1780,Oueddei Kichidemi,Chad,708346649,Start,15400000
11,11,2212,Dunama I,Chad,710675092,Stub,15400000
12,12,2341,Ahmad (Kanem-Bornu king),Chad,711388267,Stub,15400000
13,13,2636,Djibrine Kerallah,Chad,712971263,Stub,15400000
14,14,2637,Maurice Ngangtar,Chad,712971315,Stub,15400000
15,15,2638,Idriss Miskine,Chad,712971738,Stub,15400000
16,16,3673,Laoukein Kourayo Médard,Chad,716886170,Stub,15400000
17,17,3674,Nadji Madou,Chad,716886788,Stub,15400000
18,18,3675,Noël Milarew Odingar,Chad,716891799,Start,15400000
19,19,3950,Yaya Dillo Djérou,Chad,717733209,Stub,15400000
20,20,4477,Acheikh Ibn-Oumar,Chad,719821590,Start,15400000
21,21,4559,Quatre Sou Quatre,Chad,720066754,Stub,15400000
22,22,5277,Ali Gazi,Chad,722563340,Stub,15400000
23,23,5991,Mahamat Djarma Khatir,Chad,725132042,Stub,15400000
24,24,7049,Dunama IX Lefiami,Chad,731749611,Stub,15400000
25,25,7660,Dawud of Kanem,Chad,736550266,Stub,15400000
26,26,8239,Ahmed Koulamallah,Chad,738855197,Start,15400000
27,27,8594,Abbo Nassour,Chad,741369486,C,15400000
28,28,8724,Abdel Kader Baba-Laddé,Chad,742213176,Stub,15400000
29,29,9621,Hummay,Chad,747271475,Stub,15400000
30,30,10589,Ngarlejy Yorongar,Chad,751304544,C,15400000
31,31,10601,Saleh Kezabo,Chad,751380073,Stub,15400000
32,32,11860,Bourkou Louise Kabo,Chad,757072468,Start,15400000
33,33,13255,Brahim Koulamallah,Chad,757802238,Stub,15400000
34,34,13266,Saadie Goukouni Weddeye,Chad,757842614,Start,15400000
35,35,14155,Mahamoud Adam Béchir,Chad,762579466,Start,15400000
36,36,14194,Kalthouma Nguembang,Chad,762816132,Stub,15400000
37,37,14513,Djidingar Dono Ngardoum,Chad,764133533,Stub,15400000
38,38,16281,Youssouf Saleh Abbas,Chad,771052289,B,15400000
